[2, 95] | loss: 4.4156 | contrastive: 3.7929 | asl: 0.6227
[2, 100] | loss: 4.3537 | contrastive: 3.7512 | asl: 0.6024
[2, 105] | loss: 4.4305 | contrastive: 3.7904 | asl: 0.6401
[2, 110] | loss: 4.4226 | contrastive: 3.7943 | asl: 0.6283
[2, 115] | loss: 4.4153 | contrastive: 3.7695 | asl: 0.6457
[2, 120] | loss: 4.4400 | contrastive: 3.7892 | asl: 0.6507
[2, 125] | loss: 4.4681 | contrastive: 3.8145 | asl: 0.6535
[2, 130] | loss: 4.4513 | contrastive: 3.8088 | asl: 0.6425
[2, 135] | loss: 4.3966 | contrastive: 3.7925 | asl: 0.6040
[2, 140] | loss: 4.4458 | contrastive: 3.8016 | asl: 0.6442
[2, 145] | loss: 4.3644 | contrastive: 3.7769 | asl: 0.5875
[2, 150] | loss: 4.4269 | contrastive: 3.8053 | asl: 0.6216
[2, 155] | loss: 4.4195 | contrastive: 3.8087 | asl: 0.6108
[2, 160] | loss: 4.4423 | contrastive: 3.8179 | asl: 0.6244
[2, 165] | loss: 4.4214 | contrastive: 3.7858 | asl: 0.6356
[2, 170] | loss: 4.4033 | contrastive: 3.7845 | asl: 0.6188
[2, 175] | loss: 4.4041 | contrastive: 3.7966 | asl: 0.6075
[2, 180] | loss: 4.3629 | contrastive: 3.7614 | asl: 0.6015
[2, 185] | loss: 4.3646 | contrastive: 3.7735 | asl: 0.5911
[2, 190] | loss: 4.4626 | contrastive: 3.8202 | asl: 0.6424
[2, 195] | loss: 4.4585 | contrastive: 3.7938 | asl: 0.6648
[2, 200] | loss: 4.3905 | contrastive: 3.7895 | asl: 0.6010
[2, 205] | loss: 4.3934 | contrastive: 3.7970 | asl: 0.5965
[2, 210] | loss: 4.4649 | contrastive: 3.8101 | asl: 0.6548
[2, 215] | loss: 4.4507 | contrastive: 3.8156 | asl: 0.6351
[2, 220] | loss: 4.4484 | contrastive: 3.8030 | asl: 0.6453
[2, 225] | loss: 4.4005 | contrastive: 3.7711 | asl: 0.6294
[2, 230] | loss: 4.4670 | contrastive: 3.8148 | asl: 0.6522
[2, 235] | loss: 4.4763 | contrastive: 3.8135 | asl: 0.6628
[2, 240] | loss: 4.4696 | contrastive: 3.7983 | asl: 0.6713
[2, 245] | loss: 4.4163 | contrastive: 3.7834 | asl: 0.6328
[2, 250] | loss: 4.4642 | contrastive: 3.8094 | asl: 0.6548
[2, 255] | loss: 4.4192 | contrastive: 3.7860 | asl: 0.6332
[2, 260] | loss: 4.4506 | contrastive: 3.8214 | asl: 0.6292
[2, 265] | loss: 4.4654 | contrastive: 3.8166 | asl: 0.6487
[2, 270] | loss: 4.3823 | contrastive: 3.7852 | asl: 0.5971
[2, 275] | loss: 4.3627 | contrastive: 3.7799 | asl: 0.5828
[2, 280] | loss: 4.4288 | contrastive: 3.8206 | asl: 0.6082
[2, 285] | loss: 4.4445 | contrastive: 3.7794 | asl: 0.6651
[2, 290] | loss: 4.4089 | contrastive: 3.7760 | asl: 0.6329
[2, 295] | loss: 4.4305 | contrastive: 3.7958 | asl: 0.6347
[2, 300] | loss: 4.4581 | contrastive: 3.8114 | asl: 0.6467
[2, 305] | loss: 4.4818 | contrastive: 3.8159 | asl: 0.6659
[2, 310] | loss: 4.3685 | contrastive: 3.7696 | asl: 0.5989
[2, 315] | loss: 4.4189 | contrastive: 3.7903 | asl: 0.6286
[2, 320] | loss: 4.4038 | contrastive: 3.7851 | asl: 0.6187
[2, 325] | loss: 4.3486 | contrastive: 3.7664 | asl: 0.5822
[2, 330] | loss: 4.4009 | contrastive: 3.7977 | asl: 0.6032
[2, 335] | loss: 4.4150 | contrastive: 3.7951 | asl: 0.6199
[2, 340] | loss: 4.3681 | contrastive: 3.7633 | asl: 0.6048
[2, 345] | loss: 4.3875 | contrastive: 3.7696 | asl: 0.6179
[2, 350] | loss: 4.4313 | contrastive: 3.7917 | asl: 0.6396
[2, 355] | loss: 4.4737 | contrastive: 3.8205 | asl: 0.6532
[2, 360] | loss: 4.4181 | contrastive: 3.7878 | asl: 0.6303
[2, 365] | loss: 4.3764 | contrastive: 3.7598 | asl: 0.6166
[2, 370] | loss: 4.4272 | contrastive: 3.7826 | asl: 0.6446
[2, 375] | loss: 4.4352 | contrastive: 3.7833 | asl: 0.6519
[2, 380] | loss: 4.4351 | contrastive: 3.7887 | asl: 0.6464
[2, 385] | loss: 4.4516 | contrastive: 3.8063 | asl: 0.6453
[2, 390] | loss: 4.4797 | contrastive: 3.8060 | asl: 0.6737
[2, 395] | loss: 4.3697 | contrastive: 3.7571 | asl: 0.6126
[2, 400] | loss: 4.4001 | contrastive: 3.7505 | asl: 0.6496
[2, 405] | loss: 4.4501 | contrastive: 3.7781 | asl: 0.6720
[2, 410] | loss: 4.4201 | contrastive: 3.7917 | asl: 0.6285
[2, 415] | loss: 4.4493 | contrastive: 3.8055 | asl: 0.6438
[2, 420] | loss: 4.4144 | contrastive: 3.8089 | asl: 0.6055
[2, 425] | loss: 4.4779 | contrastive: 3.8116 | asl: 0.6663
[2, 430] | loss: 4.4464 | contrastive: 3.7856 | asl: 0.6608
[2, 435] | loss: 4.4098 | contrastive: 3.7690 | asl: 0.6408
[2, 440] | loss: 4.4194 | contrastive: 3.7752 | asl: 0.6442
[2, 445] | loss: 4.3968 | contrastive: 3.7669 | asl: 0.6299
[2, 450] | loss: 4.4141 | contrastive: 3.7860 | asl: 0.6281
